split,inicio_continuo,fim_continuo,duracao_h,duracao_dias
train,2017-11-21 08:30:00,2017-11-29 20:30:00,205,8.541666666666666
test,2020-11-10 16:30:00,2020-11-18 18:30:00,195,8.125
test,2020-09-28 02:30:00,2020-10-06 00:30:00,191,7.958333333333333
train,2019-07-14 00:30:00,2019-07-21 16:30:00,185,7.708333333333333
train,2019-07-29 00:30:00,2019-08-05 12:30:00,181,7.541666666666667
test,2020-11-18 20:30:00,2020-11-26 07:30:00,180,7.5
train,2017-01-05 03:30:00,2017-01-12 03:30:00,169,7.041666666666667
train,2017-08-26 08:30:00,2017-09-02 05:30:00,166,6.916666666666667
train,2017-09-10 15:30:00,2017-09-17 05:30:00,159,6.625
test,2020-08-10 16:30:00,2020-08-16 20:30:00,149,6.208333333333333
train,2017-04-10 18:30:00,2017-04-16 20:30:00,147,6.125
train,2019-02-12 00:30:00,2019-02-17 16:30:00,137,5.708333333333333
train,2017-05-10 08:30:00,2017-05-15 22:30:00,135,5.625
train,2017-12-29 15:30:00,2018-01-04 03:30:00,133,5.541666666666667
train,2019-01-29 12:30:00,2019-02-03 18:30:00,127,5.291666666666667
val,2020-04-21 08:30:00,2020-04-26 10:30:00,123,5.125
val,2020-02-06 13:30:00,2020-02-11 13:30:00,121,5.041666666666667
train,2017-08-14 05:30:00,2017-08-19 03:30:00,119,4.958333333333333
val,2020-02-18 17:30:00,2020-02-23 13:30:00,117,4.875
train,2017-09-21 07:30:00,2017-09-26 03:30:00,117,4.875
