split,inicio_lacuna,fim_lacuna,duracao_h,duracao_dias
val,2019-12-11 13:30:00,2020-01-28 18:30:00,1158,48.25
train,2017-02-02 04:30:00,2017-02-16 12:30:00,345,14.375
train,2019-08-10 16:30:00,2019-08-21 11:30:00,260,10.833333333333334
val,2019-12-02 15:30:00,2019-12-11 11:30:00,213,8.875
train,2018-06-11 17:30:00,2018-06-19 21:30:00,197,8.208333333333334
train,2017-10-01 14:30:00,2017-10-09 18:30:00,197,8.208333333333334
train,2018-05-31 14:30:00,2018-06-04 14:30:00,97,4.041666666666667
train,2019-09-19 22:30:00,2019-09-22 09:30:00,60,2.5
train,2018-03-24 07:30:00,2018-03-26 13:30:00,55,2.2916666666666665
test,2020-12-26 09:30:00,2020-12-28 13:30:00,53,2.2083333333333335
train,2018-03-31 14:30:00,2018-04-02 17:30:00,52,2.1666666666666665
train,2018-08-05 11:30:00,2018-08-07 14:30:00,52,2.1666666666666665
train,2018-05-26 11:30:00,2018-05-28 12:30:00,50,2.0833333333333335
train,2018-06-09 12:30:00,2018-06-11 13:30:00,50,2.0833333333333335
train,2018-12-08 12:30:00,2018-12-10 09:30:00,46,1.9166666666666667
train,2018-07-08 16:30:00,2018-07-10 12:30:00,45,1.875
train,2017-03-07 14:30:00,2017-03-09 07:30:00,42,1.75
train,2017-02-18 21:30:00,2017-02-20 14:30:00,42,1.75
train,2018-07-21 20:30:00,2018-07-23 13:30:00,42,1.75
train,2018-11-24 17:30:00,2018-11-26 08:30:00,40,1.6666666666666667
