rank_previsibilidade_pm25,rank_previsibilidade_pm25_pm10,rank_previsibilidade_multivariavel,score_previsibilidade_pm25,score_previsibilidade_pm25_pm10,score_previsibilidade_multivariavel,classe_analise,usina_slug,municipio,estacao,rotulo,analysis_scope,split_strategy,periodo_score_inicio,periodo_score_fim,horas_pm25_validas_dataset,cobertura_pm25_dataset_pct,primeiro_pm25_valido_dataset,ultimo_pm25_valido_dataset,score_contexto_variaveis,score_pm10_contexto,score_poluentes_contexto,score_meteo_contexto,pm10_cobertura_pares_pct,pm10_abs_correlacao_pm25,variaveis_auxiliares_validas,variaveis_auxiliares_cobertura_ge50,media_abs_correlacao_auxiliar_ponderada,top_variavel_correlacionada_pm25,top_abs_correlacao_auxiliar_pm25,cobertura_pct,min_cobertura_pct_split,picos_ge_threshold_pct,saltos_ge_threshold_pct,persistencia_mae_24h_norm_iqr,autocorr_24h,maior_lacuna_h,split_balance_penalty,score_cobertura,score_base_previsibilidade_pm25,availability_factor,missing_split_factor,score_continuidade,score_baixa_variabilidade,score_menos_picos,score_persistencia,score_sinal_temporal,score_equilibrio_splits,arquivo,split,inicio,fim,horas_esperadas,horas_observadas,media,desvio_padrao,cv,minimo,p25,mediana,p75,iqr,p90,p95,p99,maximo,robust_cv_iqr_mediana,p95_mediana_ratio,assimetria,pm25_peak_threshold,picos_ge_threshold,episodios_pico,maior_episodio_pico_h,jump_threshold,saltos_ge_threshold,lacunas_qtd,lacunas_maiores_24h,autocorr_1h,autocorr_168h,persistencia_mae_1h,persistencia_pares_1h,persistencia_mae_24h,persistencia_pares_24h,persistencia_mae_1h_norm_iqr,forca_sazonal_horaria,linhas_csv,datas_invalidas,timestamps_duplicados,split_train_fraction,split_val_fraction,split_test_fraction,primeiro_pm25_valido,ultimo_pm25_valido,dataset_inicio,dataset_fim,horas_esperadas_dataset,train_horas_observadas,val_horas_observadas,test_horas_observadas,min_horas_observadas_split,train_cobertura_pct,val_cobertura_pct,test_cobertura_pct,cobertura_cv_splits,observed_share_entropy_splits,split_missing_count,max_ks_stat_vs_train,max_p95_delta_norm_vs_train,max_mean_delta_norm_vs_train,max_peak_rate_delta_pp_vs_train,peak_pressure,variability_pressure,persistence_pressure,temporal_signal,short_label
1,1,1,84.45945945945947,84.36809143442508,79.41685304922872,candidata forte,rio-doce-estacao-principal,Rio Doce,Estacao Principal,Rio Doce / Estacao Principal,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2020-01-01 00:00:00,2023-12-31 23:00:00,29965,85.45801962126397,2020-03-16 00:00:00,2023-12-31 23:00:00,50.84208339125448,83.54577920911572,0.0,45.34596893348307,78.68754277891856,0.5228006991750924,4,4,0.2079572464578215,PM10,0.5228006991750924,85.45801962126397,80.40688278353456,0.1902219255798431,0.9925211434961908,0.5929990232343284,0.5592945058668495,1800,19.285703895456983,89.1891891891892,84.45945945945947,1.0,1.0,72.97297297297297,70.27027027027027,91.89189189189187,78.37837837837839,91.89189189189187,100.0,consolidado-rio-doce-estacao-principal.csv,all,2020-01-01 00:00:00,2023-12-31 23:00:00,35064,29965,8.815795094276655,5.414490174585549,0.6141805834508014,0.1,5.2,7.8,11.3,6.1000000000000005,15.6,18.9,26.6,102.1,0.7820512820512822,2.423076923076923,1.7226848741801062,35.0,57,43,7,15.0,284,1351,23,0.656566177622462,0.3684210486818938,3.1364821416090023,28614,3.617294041729404,27894,0.5141774002637708,0.1424281774842645,35064,0,0,0.6,0.2,0.2,2020-03-16 00:00:00,2023-12-31 23:00:00,2020-01-01 00:00:00,2023-12-31 23:00:00,35064,16916,6522,6527,6522,80.40688278353456,92.9987166690432,93.07001283330956,0.0670161505027676,0.898082919371321,0,0.0401473442126396,0.3389830508474576,0.0762450153481506,0.2647931000040829,1.182743069076034,3.2051282051282053,0.5929990232343284,0.6305085946089818,Rio Doce / Estacao Principal
2,2,2,83.37837837837839,83.94355141704207,78.63084845998306,candidata forte,conceicao-do-mato-dentro-sapo,Conceição do Mato Dentro,Sapo,Conceição do Mato Dentro / Sapo,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2017-01-01 00:00:00,2023-12-31 23:00:00,51205,83.47189619196662,2017-01-01 15:00:00,2023-12-31 23:00:00,51.72817892240951,89.03010876501533,24.043748466339466,0.0,74.26643192488262,0.5818627097770881,2,2,0.489664618186671,PM10,0.5818627097770881,83.47189619196662,78.40084766484637,1.1600429645542427,0.7957342083675144,0.4510292164674634,0.6955114163690381,1158,75.76854722134959,81.08108108108108,83.37837837837839,1.0,1.0,78.37837837837839,94.5945945945946,81.08108108108108,100.0,100.0,29.729729729729726,consolidado-conceicao-do-mato-dentro-sapo.csv,all,2017-01-01 00:00:00,2023-12-31 23:00:00,61344,51205,11.447807831266475,7.216906463019063,0.6304182048992915,1.0,7.0,11.0,15.0,8.0,19.0,23.0,36.0,126.0,0.7272727272727273,2.090909090909091,2.5809483890274767,35.0,594,228,35,15.0,388,2445,53,0.8277136745764383,0.5192643972750389,2.81591468416735,48760,3.608233731739708,46686,0.3519893355209187,0.0450427659260588,61344,0,0,0.6,0.2,0.2,2017-01-01 15:00:00,2023-12-31 23:00:00,2017-01-01 00:00:00,2023-12-31 23:00:00,61344,30001,11585,9619,9619,81.51116665761018,94.42497351047356,78.40084766484637,0.0818354108825881,0.8770755971414999,0,0.3996929076269935,0.75,0.5872386703442145,0.8709419635071317,1.9557771729217568,2.8181818181818183,0.4510292164674634,0.7180327993320675,CMD / Sapo
4,3,3,75.94594594594594,78.35135135135134,75.25537569694433,candidata forte,brumadinho-e-m-pe-vicente-assuncao,Brumadinho,E M Pe Vicente Assuncao,Brumadinho / E M Pe Vicente Assuncao,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2019-07-22 11:00:00,2023-12-31 23:00:00,31363,80.49018349801104,2019-07-23 14:00:00,2023-12-31 23:00:00,71.34214428593519,100.0,41.55770302410543,44.37416689351781,73.24008725779545,0.738076408570964,10,9,0.2001337436123141,PM10,0.738076408570964,80.49018349801104,75.14008298045255,1.4220578388547014,0.3928629890325749,0.5606667746107515,0.6136658513131273,2172,27.17450435942243,67.56756756756756,75.94594594594594,1.0,1.0,64.86486486486487,40.54054054054054,83.78378378378378,86.48648648648648,97.29729729729728,94.5945945945946,consolidado-brumadinho-e-m-pe-vicente-assuncao.csv,all,2019-07-22 11:00:00,2023-12-31 23:00:00,38965,31363,11.289933998660842,7.569789724779227,0.6704901663443842,0.1,6.0,9.4,14.5,8.5,20.8,25.6,37.8,77.9,0.904255319148936,2.723404255319149,1.9213709891425743,35.0,446,143,33,15.0,120,818,29,0.8766955664477082,0.3921924692210549,2.68126698313963,30545,4.765667584191388,29427,0.3154431744870153,0.0518087794135064,38965,0,0,0.6,0.2,0.2,2019-07-23 14:00:00,2023-12-31 23:00:00,2019-07-22 11:00:00,2023-12-31 23:00:00,38965,17567,6415,7381,6415,75.14008298045255,82.31746439112024,94.71320415757732,0.09618247350705,0.900886058342346,0,0.0745382481971594,0.3621951219512285,0.0743493550435581,1.37154264910574,1.8149208278872764,3.627659574468085,0.5606667746107515,0.6395702410198806,Brumadinho / E M Pe Vicente Assuncao
3,4,5,77.36486486486487,77.94155340613015,74.8868937147863,candidata forte,conceicao-do-mato-dentro-aeroporto-cmd,Conceição do Mato Dentro,Aeroporto Cmd,Conceição do Mato Dentro / Aeroporto Cmd,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2017-01-01 00:00:00,2023-12-31 23:00:00,51037,83.19803077725614,2017-03-06 21:00:00,2023-12-31 23:00:00,60.84505719767438,83.1317502775177,37.583763986141086,40.02026431536604,78.39397496087636,0.518341926065575,10,10,0.1355617400480506,PM10,0.518341926065575,83.19803077725614,81.46769548443189,0.807257479867547,1.1505154639175257,0.5542465352153934,0.5637758198336197,1557,19.447158055060733,75.67567567567568,77.36486486486487,1.0,1.0,75.67567567567568,47.2972972972973,78.37837837837839,91.89189189189187,75.67567567567568,97.29729729729728,consolidado-conceicao-do-mato-dentro-aeroporto-cmd.csv,all,2017-01-01 00:00:00,2023-12-31 23:00:00,61344,51037,9.61134079197445,6.9251970386136055,0.7205235136804432,0.0,5.0,8.0,12.0,7.0,17.0,21.0,33.0,302.0,0.875,2.625,4.786970361731072,35.0,412,202,37,15.0,558,2537,49,0.7449924128684037,0.3637246259193373,2.809360824742268,48500,3.8797257465077535,46818,0.4013372606774669,0.038103382689144,61344,0,0,0.6,0.2,0.2,2017-03-06 21:00:00,2023-12-31 23:00:00,2017-01-01 00:00:00,2023-12-31 23:00:00,61344,29985,10410,10642,10410,81.46769548443189,84.84799087130166,86.73893552856794,0.0258491891068117,0.8771411749987399,0,0.0703234816054898,0.375,0.098100650118331,0.3678779814639513,1.9577729437850728,3.5,0.5542465352153934,0.5828275111781916,Conceição do Mato Dentro / Aeroporto Cmd
5,5,4,75.0,77.5,75.1183937258696,candidata forte,belo-horizonte-puc-sao-gabriel,Belo Horizonte,Puc Sao Gabriel,Belo Horizonte / Puc Sao Gabriel,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2019-01-01 00:00:00,2024-12-31 23:00:00,44834,85.2227798053528,2019-01-01 02:00:00,2024-12-31 23:00:00,75.78929150579725,100.0,54.85467477758612,46.6644453626071,80.3356903892944,0.8152275997494716,12,11,0.1964930145965501,PM10,0.8152275997494716,85.2227798053528,79.48043719309362,2.3665075612258555,1.7822063383115192,0.559969346449208,0.5780165914016744,533,37.64391089026927,86.48648648648648,75.0,1.0,1.0,89.1891891891892,62.16216216216216,45.94594594594594,89.1891891891892,89.1891891891892,78.37837837837839,consolidado-belo-horizonte-puc-sao-gabriel.csv,all,2019-01-01 00:00:00,2024-12-31 23:00:00,52608,44834,12.709439041798635,8.984391677495102,0.7069070198887105,0.99,7.0,11.0,16.0,9.0,21.0,27.0,45.0,251.0,0.8181818181818182,2.4545454545454546,4.52127215382718,35.0,1061,423,20,15.0,753,2583,30,0.8234301995361677,0.3175007938036029,3.3152351423634943,42251,5.039724118042872,41612,0.3683594602626104,0.0614297462310919,52608,0,0,0.6,0.2,0.2,2019-01-01 02:00:00,2024-12-31 23:00:00,2019-01-01 00:00:00,2024-12-31 23:00:00,52608,25088,9809,9937,9809,79.48043719309362,93.23258245413936,94.44022049040106,0.0761967292753179,0.9023217114604216,0,0.1371956744261808,0.5,0.2371652850548138,1.5613648190231104,4.148713899537375,3.272727272727273,0.559969346449208,0.6087314645172204,Belo Horizonte / Puc Sao Gabriel
6,6,6,74.86486486486487,76.59349791316244,73.0786754293873,candidata intermediaria,barra-longa-centro,Barra Longa,Centro,Barra Longa / Centro,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2016-02-18 10:00:00,2024-12-31 23:00:00,68208,87.72733118971061,2016-05-16 10:00:00,2024-12-30 16:00:00,62.95693529501446,92.15119534784056,26.11217411792205,45.238426928587785,83.97813504823151,0.6154744114382831,7,7,0.2081185268970636,PM10,0.6154744114382831,87.72733118971061,81.94855305466238,0.4632887637813745,0.9487261485982303,0.597246360927135,0.5354373510837385,2112,45.34165728784119,94.5945945945946,74.86486486486487,1.0,1.0,67.56756756756756,56.75675675675676,86.48648648648648,72.97297297297297,70.27027027027027,64.86486486486487,consolidado-barra-longa-centro.csv,all,2016-02-18 10:00:00,2024-12-31 23:00:00,77750,68208,8.602070138400189,5.667772403718812,0.6588847001395066,1.0,5.0,7.0,11.0,6.0,15.0,18.0,28.0,109.0,0.8571428571428571,2.571428571428572,2.7717767355722374,35.0,316,202,22,15.0,623,2542,27,0.714704735882323,0.395600661028823,2.586184841701311,65667,3.58347816556281,63867,0.4310308069502185,0.0600207977661628,77750,0,1,0.6,0.2,0.2,2016-05-16 10:00:00,2024-12-30 16:00:00,2016-02-18 10:00:00,2024-12-31 23:00:00,77750,38229,14947,15032,14947,81.94855305466238,96.12218649517683,96.66881028938909,0.0744051287925911,0.9015618019696242,0,0.203948845644699,0.5,0.3461521340338982,0.5832171634341999,1.412014912379605,3.428571428571429,0.597246360927135,0.5654477499668199,Barra Longa / Centro
7,7,7,72.43243243243242,75.02642835069281,68.94549693869527,candidata intermediaria,sao-jose-da-lapa-centro,São José da Lapa,Centro,São José da Lapa / Centro,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2021-01-01 00:00:00,2021-12-31 23:00:00,8466,96.64383561643837,2021-01-01 00:00:00,2021-12-31 23:00:00,49.186195807518125,98.37239161503624,0.0,0.0,93.5159817351598,0.6824719097003903,1,1,0.6824719097003903,PM10,0.6824719097003903,96.64383561643837,91.15296803652969,5.445310654382235,3.610151316573335,0.5808804060017653,0.5176576825317509,36,46.99312971028521,100.0,72.43243243243242,1.0,1.0,100.0,89.1891891891892,18.91891891891892,81.08108108108108,78.37837837837837,62.16216216216216,consolidado-sao-jose-da-lapa-centro.csv,all,2021-01-01 00:00:00,2021-12-31 23:00:00,8760,8466,17.72052917552563,9.476883131290888,0.5347968470591556,1.0,11.0,16.0,22.0,11.0,29.0,35.0,48.0,112.0,0.6875,2.1875,1.90511381456032,35.0,461,221,14,15.0,303,72,2,0.7549688162984733,0.3923530169341077,4.58834743238413,8393,6.389684466019418,8240,0.4171224938531027,0.139918489518577,8760,0,0,0.6,0.2,0.2,2021-01-01 00:00:00,2021-12-31 23:00:00,2021-01-01 00:00:00,2021-12-31 23:00:00,8760,5136,1597,1733,1597,97.71689497716896,91.15296803652969,98.91552511415524,0.0355687565116413,0.8579285811318506,0,0.1606651081354609,0.7272727272727273,0.3696595872287444,5.431096955545542,9.05546197095557,2.875,0.5808804060017653,0.5876169272910394,São José da Lapa / Centro
8,8,8,68.37837837837839,69.66593637889524,64.21566850038765,candidata intermediaria,rio-doce-santana-do-deserto,Rio Doce,Santana Do Deserto,Rio Doce / Santana Do Deserto,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2019-04-16 15:00:00,2023-12-31 23:00:00,29912,72.44544551817675,2020-03-12 14:00:00,2023-12-31 23:00:00,40.62697919177346,81.25395838354692,0.0,0.0,65.84320279008936,0.5533625321699243,1,1,0.5533625321699243,PM10,0.5533625321699243,72.44544551817675,58.07936059419529,0.1470981545867879,0.591715976331361,0.6590410511415195,0.4945930242590366,7943,35.26014272648939,54.054054054054056,68.37837837837839,1.0,1.0,51.35135135135136,81.08108108108108,100.0,45.94594594594594,56.75675675675676,81.08108108108108,consolidado-rio-doce-santana-do-deserto.csv,all,2019-04-16 15:00:00,2023-12-31 23:00:00,41289,29912,7.86850762235892,4.765016730981483,0.6055807479224333,0.0,5.0,7.0,10.0,5.0,13.3,16.0,23.0,135.0,0.7142857142857143,2.2857142857142856,2.779449912568393,35.0,44,37,3,15.0,168,1520,16,0.6354442797942421,0.3263348215634472,2.734213863060017,28392,3.295205255707597,27551,0.5468427726120033,0.0798720439949797,41289,0,0,0.6,0.2,0.2,2020-03-12 14:00:00,2023-12-31 23:00:00,2019-04-16 15:00:00,2023-12-31 23:00:00,41289,14388,7857,7667,7667,58.07936059419529,95.14410268830224,92.8433034633083,0.206727060526432,0.9576834019692078,0,0.0767519481602116,0.3157894736842107,0.0230912604986633,0.1346271741675372,0.7388141309181488,3.0,0.6590410511415195,0.5345290462565265,Rio Doce / Santana Do Deserto
9,9,9,62.16216216216216,65.94594594594594,61.44813257946774,candidata intermediaria,congonhas-matriz,Congonhas,Matriz,Congonhas / Matriz,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2017-06-28 15:00:00,2023-12-31 23:00:00,47511,83.26936221673064,2017-06-29 08:00:00,2023-12-31 23:00:00,57.401964944199314,100.0,24.67321648066439,0.0,76.25181835708152,0.7031741680512741,2,2,0.6055445248315978,PM10,0.7031741680512741,83.26936221673064,76.92352631886429,6.021763381111742,3.3331136158899657,0.5215816469130766,0.5963081132164301,880,60.26277838249919,78.37837837837837,62.16216216216216,1.0,1.0,83.78378378378378,35.13513513513513,16.21621621621621,97.29729729729728,94.5945945945946,45.94594594594594,consolidado-congonhas-matriz.csv,all,2017-06-28 15:00:00,2023-12-31 23:00:00,57057,47511,15.72854707330934,10.946266716681023,0.6959490069655807,1.0,8.0,13.0,20.0,12.0,29.0,36.0,51.0,274.0,0.9230769230769232,2.769230769230769,2.5154796539582662,35.0,2861,1234,18,15.0,1517,1998,38,0.7998693967117861,0.4360029592701468,4.278777492145101,45513,6.25897976295692,44127,0.3565647910120917,0.0842374991911542,57057,0,0,0.6,0.2,0.2,2017-06-29 08:00:00,2023-12-31 23:00:00,2017-06-28 15:00:00,2023-12-31 23:00:00,57057,26334,10264,10913,10264,76.92352631886429,89.94041359971959,95.63579002716676,0.0895057015969935,0.9065898431970127,0,0.2198817179229042,0.8461538461538461,0.3503114194698475,5.394731118035531,9.354876997001709,3.692307692307693,0.5215816469130766,0.6384268628120072,Congonhas / Matriz
10,10,11,59.05405405405406,62.8804168885716,59.35499086408591,instavel ou com picos,conceicao-do-mato-dentro-corregos,Conceição do Mato Dentro,Corregos,Conceição do Mato Dentro / Corregos,dataset_completo,dataset completo por estacao; secoes temporais relativas 60/20/20,2017-01-04 19:00:00,2023-12-31 23:00:00,48089,78.5088077318662,2017-01-05 18:00:00,2023-12-31 22:00:00,61.06029945426636,97.31768239922944,29.560388062908093,17.66670917889611,68.1223776794606,0.7079877923712785,4,3,0.3814273609233186,PM10,0.7079877923712785,78.5088077318662,74.95918589464519,1.563767181683961,1.937046004842615,0.5641843146381196,0.4284051619982223,2005,28.14858362437326,62.16216216216216,59.05405405405406,1.0,1.0,70.27027027027027,16.21621621621621,54.054054054054056,83.78378378378378,35.13513513513514,91.89189189189187,consolidado-conceicao-do-mato-dentro-corregos.csv,all,2017-01-04 19:00:00,2023-12-31 23:00:00,61253,48089,10.048825926927156,9.47670437599353,0.943065831262879,0.99,5.0,8.0,13.0,8.0,19.0,24.0,39.0,578.0,1.0,3.0,12.570725635462605,35.0,752,350,20,15.0,872,3073,40,0.6920984457300832,0.2919201872357443,3.3312748517226827,45017,4.513474517104957,42970,0.4164093564653353,0.0681134202286597,61253,0,0,0.6,0.2,0.2,2017-01-05 18:00:00,2023-12-31 22:00:00,2017-01-04 19:00:00,2023-12-31 23:00:00,61253,27549,10970,9570,9570,74.95918589464519,89.55102040816327,78.1160721573749,0.0775079582947083,0.8898089022908332,0,0.0935267310061565,0.4285714285714285,0.0928907781578196,0.6158705597018099,3.500813186526576,4.0,0.5641843146381196,0.4624618721125522,Conceição do Mato Dentro / Corregos
